region_name_1_20000,prefecture,region_name_10km,mesh_10km,mesh_1km,number_of_factories,number_of_workers,shipment
一関,宮城,築館,584100,58410091,3,171,36201
一関,宮城,築館,584100,58410094,1,41,0
一関,宮城,築館,584100,58410081,3,39,48601
一関,宮城,築館,584100,58410082,1,27,0
一関,宮城,築館,584100,58410086,2,206,0
一関,宮城,築館,584100,58410070,1,29,0
一関,宮城,築館,584100,58410071,2,12,0
一関,宮城,築館,584100,58410072,3,41,41088
一関,宮城,築館,584100,58410075,1,13,0
一関,宮城,築館,584100,58410079,1,21,0
一関,宮城,築館,584100,58410061,4,295,202009
一関,宮城,築館,584100,58410062,1,234,0
一関,宮城,築館,584100,58410052,1,14,0
一関,宮城,築館,584100,58410055,1,6,0
一関,宮城,築館,584100,58410041,2,40,0
一関,宮城,築館,584100,58410043,1,64,0
一関,宮城,築館,584100,58410049,1,7,0
一関,宮城,築館,584100,58410031,1,9,0
一関,宮城,築館,584100,58410034,1,10,0
一関,宮城,築館,584100,58410010,3,156,275161
一関,宮城,築館,584100,58410012,2,28,0
一関,宮城,築館,584100,58410019,1,7,0
一関,宮城,築館,584100,58410001,2,537,0
一関,宮城,築館,584100,58410007,3,122,134007
一関,宮城,築館,584100,58410008,2,43,0
一関,宮城,築館,584100,58410009,1,179,0
一関,宮城,佐沼,584101,58410187,1,51,0
一関,宮城,佐沼,584101,58410172,1,5,0
一関,宮城,佐沼,584101,58410175,1,20,0
一関,宮城,佐沼,584101,58410163,2,39,0
一関,宮城,佐沼,584101,58410167,1,6,0
一関,宮城,佐沼,584101,58410168,1,13,0
一関,宮城,佐沼,584101,58410150,1,29,0
一関,宮城,佐沼,584101,58410152,1,24,0
一関,宮城,佐沼,584101,58410157,1,49,0
一関,宮城,佐沼,584101,58410159,4,246,426046
一関,宮城,佐沼,584101,58410144,1,28,0
一関,宮城,佐沼,584101,58410146,1,66,0
一関,宮城,佐沼,584101,58410147,1,6,0
一関,宮城,佐沼,584101,58410148,2,49,0
一関,宮城,佐沼,584101,58410149,3,111,93285
一関,宮城,佐沼,584101,58410136,3,111,427899
一関,宮城,佐沼,584101,58410137,2,25,0
一関,宮城,佐沼,584101,58410138,3,295,603136
一関,宮城,佐沼,584101,58410139,2,14,0
一関,宮城,佐沼,584101,58410123,1,29,0
一関,宮城,佐沼,584101,58410124,2,48,0
一関,宮城,佐沼,584101,58410125,4,586,1514828
一関,宮城,佐沼,584101,58410126,8,591,1379805
一関,宮城,佐沼,584101,58410127,1,33,0
一関,宮城,佐沼,584101,58410115,1,10,0
一関,宮城,佐沼,584101,58410117,1,42,0
一関,宮城,佐沼,584101,58410103,1,194,0
一関,宮城,佐沼,584101,58410104,2,15,0
一関,宮城,佐沼,584101,58410105,8,364,591165
一関,宮城,米谷,584102,58410292,1,34,0
一関,宮城,米谷,584102,58410280,2,14,0
一関,宮城,米谷,584102,58410285,1,12,0
一関,宮城,米谷,584102,58410272,1,27,0
一関,宮城,米谷,584102,58410273,1,21,0
一関,宮城,米谷,584102,58410260,2,28,0
一関,宮城,米谷,584102,58410250,1,4,0
一関,宮城,米谷,584102,58410240,2,48,0
一関,宮城,米谷,584102,58410242,1,11,0
一関,宮城,米谷,584102,58410243,2,21,0
一関,宮城,米谷,584102,58410245,1,5,0
一関,宮城,米谷,584102,58410230,1,10,0
一関,宮城,米谷,584102,58410220,1,13,0
一関,宮城,米谷,584102,58410224,1,6,0
一関,宮城,米谷,584102,58410200,2,19,0
一関,宮城,米谷,584102,58410201,1,15,0
一関,宮城,米谷,584102,58410202,1,23,0
一関,宮城,志津川,584103,58410324,1,14,0
一関,宮城,志津川,584103,58410326,2,51,0
一関,宮城,志津川,584103,58410327,6,181,504793
一関,宮城,志津川,584103,58410315,1,5,0
一関,宮城,志津川,584103,58410316,4,46,7756
一関,宮城,志津川,584103,58410317,1,83,0
一関,宮城,志津川,584103,58410305,3,36,50021
一関,宮城,志津川,584103,58410306,11,222,531068
一関,宮城,伊里前,584104,58410492,1,5,0
一関,宮城,伊里前,584104,58410464,2,20,0
一関,宮城,伊里前,584104,58410451,1,17,0
一関,宮城,伊里前,584104,58410452,2,38,0
一関,宮城,伊里前,584104,58410454,1,10,0
一関,宮城,伊里前,584104,58410435,1,10,0
一関,宮城,金成,584110,58411090,4,146,309101
一関,宮城,金成,584110,58411091,2,34,0
一関,宮城,金成,584110,58411097,1,37,0
一関,宮城,金成,584110,58411098,1,11,0
一関,宮城,金成,584110,58411073,1,50,0
一関,宮城,金成,584110,58411060,2,75,0
一関,宮城,金成,584110,58411061,1,27,0
一関,宮城,金成,584110,58411065,1,339,0
一関,宮城,金成,584110,58411066,1,16,0
一関,宮城,金成,584110,58411055,1,35,0
一関,宮城,金成,584110,58411059,1,27,0
一関,宮城,金成,584110,58411041,1,6,0
一関,宮城,金成,584110,58411044,4,234,501651
一関,宮城,金成,584110,58411048,1,14,0
一関,宮城,金成,584110,58411031,1,7,0
一関,宮城,金成,584110,58411039,1,4,0
一関,宮城,金成,584110,58411025,1,13,0
一関,宮城,金成,584110,58411028,1,18,0
一関,宮城,金成,584110,58411012,1,22,0
一関,宮城,金成,584110,58411000,1,24,0
一関,宮城,金成,584110,58411001,2,140,0
一関,宮城,金成,584110,58411002,2,129,0
一関,宮城,金成,584110,58411003,1,8,0
一関,宮城,金成,584110,58411008,1,10,0
一関,岩手,若柳,584111,58411194,2,60,0
一関,岩手,若柳,584111,58411195,1,7,0
一関,岩手,若柳,584111,58411196,1,28,0
一関,岩手,若柳,584111,58411184,1,8,0
一関,岩手,若柳,584111,58411185,5,64,30757
一関,岩手,若柳,584111,58411171,1,18,0
一関,岩手,若柳,584111,58411172,4,72,128873
一関,岩手,若柳,584111,58411173,1,52,0
一関,岩手,若柳,584111,58411174,1,4,0
一関,岩手,若柳,584111,58411175,2,16,0
一関,岩手,若柳,584111,58411160,1,110,0
一関,岩手,若柳,584111,58411161,1,13,0
一関,岩手,若柳,584111,58411165,2,13,0
一関,岩手,若柳,584111,58411166,2,187,0
一関,岩手,若柳,584111,58411150,2,413,0
一関,岩手,若柳,584111,58411154,1,73,0
一関,岩手,若柳,584111,58411131,1,14,0
一関,岩手,若柳,584111,58411138,1,6,0
一関,岩手,若柳,584111,58411120,2,116,0
一関,岩手,若柳,584111,58411121,3,17,5790
一関,岩手,若柳,584111,58411122,5,323,412712
一関,岩手,若柳,584111,58411126,1,6,0
一関,岩手,若柳,584111,58411128,1,12,0
一関,岩手,若柳,584111,58411110,1,5,0
一関,岩手,若柳,584111,58411113,1,15,0
一関,岩手,若柳,584111,58411115,1,9,0
一関,岩手,若柳,584111,58411103,1,32,0
一関,宮城,米川,584112,58411298,1,19,0
一関,宮城,米川,584112,58411246,1,5,0
一関,宮城,米川,584112,58411239,1,11,0
一関,宮城,米川,584112,58411226,1,125,0
一関,宮城,米川,584112,58411227,1,89,0
一関,宮城,米川,584112,58411216,1,6,0
一関,宮城,馬籠,584113,58411361,1,29,0
一関,宮城,馬籠,584113,58411349,1,4,0
一関,宮城,馬籠,584113,58411336,1,22,0
一関,宮城,馬籠,584113,58411337,1,11,0
一関,宮城,馬籠,584113,58411338,1,25,0
一関,宮城,馬籠,584113,58411339,1,254,0
一関,宮城,馬籠,584113,58411326,2,44,0
一関,宮城,津谷,584114,58411496,1,123,0
一関,宮城,津谷,584114,58411497,3,37,20261
一関,宮城,津谷,584114,58411498,1,59,0
一関,宮城,津谷,584114,58411472,1,147,0
一関,宮城,津谷,584114,58411476,2,85,0
一関,宮城,津谷,584114,58411464,1,23,0
一関,宮城,津谷,584114,58411450,2,17,0
一関,宮城,津谷,584114,58411451,1,4,0
一関,宮城,津谷,584114,58411440,5,30,14015
一関,宮城,津谷,584114,58411441,4,46,23222
一関,宮城,津谷,584114,58411421,1,42,0
一関,宮城,津谷,584114,58411401,1,20,0
一関,宮城,萩荘,584120,58412099,1,10,0
一関,宮城,萩荘,584120,58412089,2,77,0
一関,宮城,萩荘,584120,58412065,1,6,0
一関,宮城,萩荘,584120,58412069,1,11,0
一関,宮城,萩荘,584120,58412059,2,41,0
一関,宮城,萩荘,584120,58412046,1,13,0
一関,宮城,萩荘,584120,58412049,1,8,0
一関,宮城,萩荘,584120,58412015,1,8,0
一関,宮城,萩荘,584120,58412007,1,4,0
一関,岩手,有壁,584121,58412192,7,280,474415
一関,岩手,有壁,584121,58412193,5,565,1609137
一関,岩手,有壁,584121,58412181,1,51,0
一関,岩手,有壁,584121,58412182,2,112,0
一関,岩手,有壁,584121,58412183,2,67,0
一関,岩手,有壁,584121,58412184,1,4,0
一関,岩手,有壁,584121,58412185,1,11,0
一関,岩手,有壁,584121,58412186,1,10,0
一関,岩手,有壁,584121,58412172,3,35,66280
一関,岩手,有壁,584121,58412162,1,21,0
一関,岩手,有壁,584121,58412151,5,138,196324
一関,岩手,有壁,584121,58412130,2,15,0
一関,岩手,有壁,584121,58412123,1,69,0
一関,岩手,有壁,584121,58412112,1,6,0
一関,岩手,有壁,584121,58412113,2,61,0
一関,岩手,有壁,584121,58412114,2,58,0
一関,岩手,有壁,584121,58412104,2,14,0
一関,岩手,有壁,584121,58412105,1,61,0
一関,岩手,有壁,584121,58412109,1,11,0
一関,岩手,千厩南部,584122,58412296,4,239,233746
一関,岩手,千厩南部,584122,58412297,2,173,0
一関,岩手,千厩南部,584122,58412298,1,29,0
一関,岩手,千厩南部,584122,58412280,1,21,0
一関,岩手,千厩南部,584122,58412282,1,14,0
一関,岩手,千厩南部,584122,58412286,1,130,0
一関,岩手,千厩南部,584122,58412288,1,40,0
一関,岩手,千厩南部,584122,58412275,1,7,0
一関,岩手,千厩南部,584122,58412260,2,13,0
一関,岩手,千厩南部,584122,58412267,1,11,0
一関,岩手,千厩南部,584122,58412253,1,41,0
一関,岩手,千厩南部,584122,58412258,3,431,892424
一関,岩手,千厩南部,584122,58412249,1,251,0
一関,岩手,千厩南部,584122,58412224,2,61,0
一関,岩手,千厩南部,584122,58412227,1,156,0
一関,岩手,千厩南部,584122,58412228,1,8,0
一関,岩手,千厩南部,584122,58412213,3,39,51403
一関,岩手,千厩南部,584122,58412214,1,109,0
一関,岩手,千厩南部,584122,58412208,1,5,0
一関,岩手,津谷川,584123,58412397,1,5,0
一関,岩手,津谷川,584123,58412399,2,18,0
一関,岩手,津谷川,584123,58412384,1,7,0
一関,岩手,津谷川,584123,58412370,2,16,0
一関,岩手,津谷川,584123,58412300,1,50,0
一関,岩手,津谷川,584123,58412304,4,54,40512
一関,宮城,気仙沼,584124,58412493,3,29,39943
一関,宮城,気仙沼,584124,58412494,3,35,17411
一関,宮城,気仙沼,584124,58412496,14,353,646754
一関,宮城,気仙沼,584124,58412497,10,106,130077
一関,宮城,気仙沼,584124,58412483,1,6,0
一関,宮城,気仙沼,584124,58412484,1,46,0
一関,宮城,気仙沼,584124,58412485,4,39,47231
一関,宮城,気仙沼,584124,58412486,16,881,2325222
一関,宮城,気仙沼,584124,58412487,4,57,149231
一関,宮城,気仙沼,584124,58412474,2,17,0
一関,宮城,気仙沼,584124,58412475,2,22,0
一関,宮城,気仙沼,584124,58412476,11,268,655946
一関,宮城,気仙沼,584124,58412477,3,23,21233
一関,宮城,気仙沼,584124,58412464,1,6,0
一関,宮城,気仙沼,584124,58412465,2,34,0
一関,宮城,気仙沼,584124,58412466,10,603,1117841
一関,宮城,気仙沼,584124,58412467,35,787,2272659
一関,宮城,気仙沼,584124,58412468,1,6,0
一関,宮城,気仙沼,584124,58412454,1,13,0
一関,宮城,気仙沼,584124,58412456,2,64,0
一関,宮城,気仙沼,584124,58412457,3,55,227769
一関,宮城,気仙沼,584124,58412445,1,5,0
一関,宮城,気仙沼,584124,58412446,4,128,255680
一関,宮城,気仙沼,584124,58412447,3,45,36475
一関,宮城,気仙沼,584124,58412433,1,6,0
一関,宮城,気仙沼,584124,58412434,1,6,0
一関,宮城,気仙沼,584124,58412435,2,13,0
一関,宮城,気仙沼,584124,58412436,3,59,95921
一関,宮城,気仙沼,584124,58412425,3,59,178541
一関,宮城,気仙沼,584124,58412426,3,61,29434
一関,宮城,気仙沼,584124,58412415,1,59,0
一関,宮城,気仙沼,584124,58412416,2,16,0
一関,宮城,気仙沼,584124,58412405,2,20,0
一関,宮城,気仙沼,584124,58412406,1,39,0
一関,宮城,気仙沼,584124,58412407,1,8,0
一関,宮城,唐桑,584125,58412591,5,142,335956
一関,宮城,唐桑,584125,58412581,1,43,0
一関,宮城,唐桑,584125,58412571,2,22,0
一関,宮城,唐桑,584125,58412572,1,19,0
一関,宮城,唐桑,584125,58412561,4,36,7667
一関,宮城,唐桑,584125,58412562,1,10,0
一関,宮城,唐桑,584125,58412542,1,26,0
一関,宮城,唐桑,584125,58412533,1,7,0
一関,岩手,平泉,584130,58413095,1,6,0
一関,岩手,平泉,584130,58413099,2,10,0
一関,岩手,平泉,584130,58413081,1,4,0
一関,岩手,平泉,584130,58413089,3,21,27314
一関,岩手,平泉,584130,58413067,1,5,0
一関,岩手,平泉,584130,58413068,1,34,0
一関,岩手,平泉,584130,58413069,4,208,228279
一関,岩手,平泉,584130,58413059,1,22,0
一関,岩手,平泉,584130,58413041,1,6,0
一関,岩手,平泉,584130,58413044,1,7,0
一関,岩手,平泉,584130,58413038,1,97,0
一関,岩手,平泉,584130,58413039,2,50,0
一関,岩手,平泉,584130,58413023,1,50,0
一関,岩手,平泉,584130,58413026,2,173,0
一関,岩手,平泉,584130,58413027,8,336,288140
一関,岩手,平泉,584130,58413028,2,44,0
一関,岩手,平泉,584130,58413029,2,24,0
一関,岩手,平泉,584130,58413012,1,8,0
一関,岩手,平泉,584130,58413016,2,15,0
一関,岩手,平泉,584130,58413017,6,290,336299
一関,岩手,平泉,584130,58413019,3,58,29968
一関,岩手,平泉,584130,58413004,1,64,0
一関,岩手,平泉,584130,58413007,1,6,0
一関,岩手,平泉,584130,58413008,2,66,0
一関,岩手,一関,584131,58413179,3,113,217117
一関,岩手,一関,584131,58413169,1,42,0
一関,岩手,一関,584131,58413150,3,28,37015
一関,岩手,一関,584131,58413156,1,42,0
一関,岩手,一関,584131,58413130,2,44,0
一関,岩手,一関,584131,58413134,1,5,0
一関,岩手,一関,584131,58413136,1,6,0
一関,岩手,一関,584131,58413120,2,10,0
一関,岩手,一関,584131,58413122,1,126,0
一関,岩手,一関,584131,58413123,1,47,0
一関,岩手,一関,584131,58413110,5,91,71737
一関,岩手,一関,584131,58413111,2,19,0
一関,岩手,一関,584131,58413112,3,18,5418
一関,岩手,一関,584131,58413100,3,38,61140
一関,岩手,一関,584131,58413101,6,953,6610825
一関,岩手,一関,584131,58413102,9,226,508678
一関,岩手,一関,584131,58413103,8,1450,2109356
一関,岩手,千厩北部,584132,58413291,4,103,124003
一関,岩手,千厩北部,584132,58413292,2,78,0
一関,岩手,千厩北部,584132,58413295,3,29,9600
一関,岩手,千厩北部,584132,58413296,1,5,0
一関,岩手,千厩北部,584132,58413280,2,17,0
一関,岩手,千厩北部,584132,58413282,1,44,0
一関,岩手,千厩北部,584132,58413283,1,107,0
一関,岩手,千厩北部,584132,58413284,1,188,0
一関,岩手,千厩北部,584132,58413285,2,89,0
一関,岩手,千厩北部,584132,58413286,4,44,29894
一関,岩手,千厩北部,584132,58413270,2,29,0
一関,岩手,千厩北部,584132,58413279,1,6,0
一関,岩手,千厩北部,584132,58413267,1,11,0
一関,岩手,千厩北部,584132,58413256,1,4,0
一関,岩手,千厩北部,584132,58413257,1,18,0
一関,岩手,千厩北部,584132,58413259,1,23,0
一関,岩手,千厩北部,584132,58413249,1,56,0
一関,岩手,千厩北部,584132,58413230,2,16,0
一関,岩手,千厩北部,584132,58413235,1,5,0
一関,岩手,千厩北部,584132,58413220,1,9,0
一関,岩手,千厩北部,584132,58413227,1,10,0
一関,岩手,千厩北部,584132,58413210,1,13,0
一関,岩手,千厩北部,584132,58413219,1,135,0
一関,岩手,千厩北部,584132,58413206,1,4,0
一関,岩手,千厩北部,584132,58413207,1,13,0
一関,岩手,千厩北部,584132,58413208,1,70,0
一関,岩手,折壁,584133,58413380,1,4,0
一関,岩手,折壁,584133,58413340,2,23,0
一関,岩手,折壁,584133,58413333,1,5,0
一関,岩手,折壁,584133,58413325,1,33,0
一関,岩手,折壁,584133,58413326,2,9,0
一関,岩手,折壁,584133,58413314,3,24,6277
一関,岩手,折壁,584133,58413317,2,419,0
一関,宮城,鹿折,584134,58413489,1,43,0
一関,宮城,鹿折,584134,58413426,1,5,0
一関,宮城,鹿折,584134,58413416,2,38,0
一関,宮城,鹿折,584134,58413406,2,87,0
一関,岩手,陸前広田,584135,58413590,3,120,170490
一関,岩手,陸前広田,584135,58413594,1,7,0
一関,岩手,陸前広田,584135,58413580,3,113,303635
一関,岩手,陸前広田,584135,58413588,3,37,51656
一関,岩手,陸前広田,584135,58413589,1,6,0
一関,岩手,陸前広田,584135,58413570,1,21,0
一関,岩手,陸前広田,584135,58413556,1,20,0
一関,岩手,陸前広田,584135,58413545,2,22,0
一関,岩手,陸前広田,584135,58413531,1,23,0
一関,岩手,陸前広田,584135,58413535,1,6,0
一関,岩手,古戸,584140,58414093,1,61,0
一関,岩手,古戸,584140,58414097,3,100,83451
一関,岩手,古戸,584140,58414098,1,7,0
一関,岩手,古戸,584140,58414080,1,8,0
一関,岩手,古戸,584140,58414081,1,7,0
一関,岩手,古戸,584140,58414084,1,12,0
一関,岩手,古戸,584140,58414078,1,62,0
一関,岩手,古戸,584140,58414068,1,22,0
一関,岩手,古戸,584140,58414045,2,18,0
一関,岩手,古戸,584140,58414049,2,65,0
一関,岩手,古戸,584140,58414036,1,8,0
一関,岩手,古戸,584140,58414038,1,5,0
一関,岩手,古戸,584140,58414039,5,170,265760
一関,岩手,古戸,584140,58414026,1,59,0
一関,岩手,古戸,584140,58414027,1,40,0
一関,岩手,古戸,584140,58414028,1,133,0
一関,岩手,古戸,584140,58414029,1,5,0
一関,岩手,古戸,584140,58414018,4,97,50483
一関,岩手,前沢,584141,58414190,1,61,0
一関,岩手,前沢,584141,58414191,2,17,0
一関,岩手,前沢,584141,58414193,2,44,0
一関,岩手,前沢,584141,58414180,1,14,0
一関,岩手,前沢,584141,58414170,4,61,43800
一関,岩手,前沢,584141,58414171,1,17,0
一関,岩手,前沢,584141,58414172,2,50,0
一関,岩手,前沢,584141,58414173,1,12,0
一関,岩手,前沢,584141,58414160,2,23,0
一関,岩手,前沢,584141,58414164,1,9,0
一関,岩手,前沢,584141,58414150,11,793,1507897
一関,岩手,前沢,584141,58414151,4,122,107901
一関,岩手,前沢,584141,58414140,4,93,139585
一関,岩手,前沢,584141,58414143,2,16,0
一関,岩手,前沢,584141,58414132,1,14,0
一関,岩手,前沢,584141,58414117,1,27,0
一関,岩手,前沢,584141,58414118,2,94,0
一関,岩手,前沢,584141,58414119,1,4,0
一関,岩手,前沢,584141,58414107,1,20,0
一関,岩手,前沢,584141,58414109,1,21,0
一関,岩手,沖田,584142,58414273,1,6,0
一関,岩手,沖田,584142,58414259,2,40,0
一関,岩手,沖田,584142,58414248,1,29,0
一関,岩手,沖田,584142,58414233,1,14,0
一関,岩手,沖田,584142,58414237,1,49,0
一関,岩手,沖田,584142,58414238,1,6,0
一関,岩手,沖田,584142,58414225,2,13,0
一関,岩手,沖田,584142,58414226,2,84,0
一関,岩手,沖田,584142,58414228,1,4,0
一関,岩手,沖田,584142,58414211,1,28,0
一関,岩手,沖田,584142,58414216,2,25,0
一関,岩手,沖田,584142,58414217,1,88,0
一関,岩手,沖田,584142,58414203,1,4,0
一関,岩手,沖田,584142,58414206,1,68,0
一関,岩手,陸中大原,584143,58414323,2,31,0
一関,岩手,陸中大原,584143,58414310,1,15,0
一関,岩手,陸中大原,584143,58414311,1,12,0
一関,岩手,陸中大原,584143,58414301,1,14,0
一関,岩手,今泉,584144,58414477,1,39,0
一関,岩手,今泉,584144,58414448,1,69,0
一関,岩手,今泉,584144,58414439,3,272,406142
一関,岩手,今泉,584144,58414424,1,4,0
一関,岩手,今泉,584144,58414426,1,4,0
一関,岩手,今泉,584144,58414427,1,5,0
一関,岩手,今泉,584144,58414429,1,9,0
一関,岩手,今泉,584144,58414419,4,38,38215
一関,岩手,今泉,584144,58414409,1,28,0
一関,岩手,大船渡,584145,58414597,17,517,789058
一関,岩手,大船渡,584145,58414598,1,27,0
一関,岩手,大船渡,584145,58414587,7,250,479221
一関,岩手,大船渡,584145,58414588,3,167,1960858
一関,岩手,大船渡,584145,58414577,4,35,35210
一関,岩手,大船渡,584145,58414578,3,60,54442
一関,岩手,大船渡,584145,58414579,4,65,48801
一関,岩手,大船渡,584145,58414567,3,14,7566
一関,岩手,大船渡,584145,58414568,6,239,393193
一関,岩手,大船渡,584145,58414557,2,35,0
一関,岩手,大船渡,584145,58414558,3,34,8268
一関,岩手,大船渡,584145,58414559,1,8,0
一関,岩手,大船渡,584145,58414547,2,13,0
一関,岩手,大船渡,584145,58414548,3,34,49460
一関,岩手,大船渡,584145,58414549,1,22,0
一関,岩手,大船渡,584145,58414530,2,137,0
一関,岩手,大船渡,584145,58414537,4,78,110712
一関,岩手,大船渡,584145,58414539,3,112,351137
一関,岩手,大船渡,584145,58414520,2,70,0
一関,岩手,大船渡,584145,58414523,1,13,0
一関,岩手,大船渡,584145,58414527,1,9,0
一関,岩手,大船渡,584145,58414510,5,68,36594
一関,岩手,大船渡,584145,58414511,1,36,0
一関,岩手,大船渡,584145,58414512,1,22,0
一関,岩手,大船渡,584145,58414513,1,10,0
一関,岩手,大船渡,584145,58414517,6,280,333032
一関,岩手,大船渡,584145,58414502,2,12,0
一関,岩手,大船渡,584145,58414503,2,53,0
一関,岩手,大船渡,584145,58414504,1,13,0
一関,岩手,大船渡,584145,58414507,1,6,0
一関,岩手,綾里,584146,58414690,1,5,0
一関,岩手,綾里,584146,58414664,1,8,0
一関,岩手,綾里,584146,58414653,4,68,37649
一関,岩手,綾里,584146,58414643,2,35,0
一関,岩手,綾里,584146,58414620,3,37,53114
一関,岩手,供養塚,584150,58415085,1,5,0
一関,岩手,供養塚,584150,58415086,1,5,0
一関,岩手,供養塚,584150,58415088,1,17,0
一関,岩手,供養塚,584150,58415078,1,15,0
一関,岩手,供養塚,584150,58415068,2,125,0
一関,岩手,供養塚,584150,58415069,1,22,0
一関,岩手,供養塚,584150,58415053,3,46,118352
一関,岩手,供養塚,584150,58415059,1,11,0
一関,岩手,供養塚,584150,58415045,2,12,0
一関,岩手,供養塚,584150,58415046,1,35,0
一関,岩手,供養塚,584150,58415048,1,28,0
一関,岩手,供養塚,584150,58415049,2,180,0
一関,岩手,供養塚,584150,58415036,2,147,0
一関,岩手,供養塚,584150,58415038,3,86,86796
一関,岩手,供養塚,584150,58415039,1,64,0
一関,岩手,供養塚,584150,58415025,2,19,0
一関,岩手,供養塚,584150,58415029,1,27,0
一関,岩手,供養塚,584150,58415016,1,43,0
一関,岩手,供養塚,584150,58415006,1,22,0
一関,岩手,供養塚,584150,58415009,1,96,0
一関,岩手,水沢,584151,58415191,4,109,209511
一関,岩手,水沢,584151,58415192,7,503,647679
一関,岩手,水沢,584151,58415193,2,41,0
一関,岩手,水沢,584151,58415194,2,80,0
一関,岩手,水沢,584151,58415181,3,22,6163
一関,岩手,水沢,584151,58415182,2,54,0
一関,岩手,水沢,584151,58415183,1,19,0
一関,岩手,水沢,584151,58415184,1,9,0
一関,岩手,水沢,584151,58415170,3,46,15202
一関,岩手,水沢,584151,58415171,6,56,25406
一関,岩手,水沢,584151,58415172,1,22,0
一関,岩手,水沢,584151,58415173,1,19,0
一関,岩手,水沢,584151,58415175,1,13,0
一関,岩手,水沢,584151,58415160,4,94,60367
一関,岩手,水沢,584151,58415161,4,23,11223
一関,岩手,水沢,584151,58415162,2,20,0
一関,岩手,水沢,584151,58415164,12,115,71966
一関,岩手,水沢,584151,58415165,11,206,164662
一関,岩手,水沢,584151,58415150,3,33,25793
一関,岩手,水沢,584151,58415151,1,24,0
一関,岩手,水沢,584151,58415152,5,108,154359
一関,岩手,水沢,584151,58415155,2,41,0
一関,岩手,水沢,584151,58415156,1,4,0
一関,岩手,水沢,584151,58415140,4,190,203077
一関,岩手,水沢,584151,58415141,2,22,0
一関,岩手,水沢,584151,58415143,1,39,0
一関,岩手,水沢,584151,58415144,1,7,0
一関,岩手,水沢,584151,58415145,4,43,31579
一関,岩手,水沢,584151,58415130,3,49,29648
一関,岩手,水沢,584151,58415131,2,24,0
一関,岩手,水沢,584151,58415132,2,93,0
一関,岩手,水沢,584151,58415133,2,140,0
一関,岩手,水沢,584151,58415139,1,10,0
一関,岩手,水沢,584151,58415120,2,18,0
一関,岩手,水沢,584151,58415121,1,44,0
一関,岩手,水沢,584151,58415110,2,326,0
一関,岩手,水沢,584151,58415111,1,17,0
一関,岩手,水沢,584151,58415113,2,36,0
一関,岩手,水沢,584151,58415100,1,4,0
一関,岩手,水沢,584151,58415101,1,4,0
一関,岩手,水沢,584151,58415105,1,7,0
一関,岩手,世田米,584154,58415483,1,8,0
一関,岩手,世田米,584154,58415474,1,6,0
一関,岩手,世田米,584154,58415476,1,7,0
一関,岩手,世田米,584154,58415466,2,24,0
一関,岩手,世田米,584154,58415467,2,20,0
一関,岩手,世田米,584154,58415456,2,262,0
一関,岩手,世田米,584154,58415436,3,183,372247
一関,岩手,盛,584155,58415570,1,28,0
一関,岩手,盛,584155,58415554,2,19,0
一関,岩手,盛,584155,58415549,1,25,0
一関,岩手,盛,584155,58415534,1,8,0
一関,岩手,盛,584155,58415525,1,17,0
一関,岩手,盛,584155,58415506,3,17,6563
一関,岩手,盛,584155,58415507,3,35,10123
一関,岩手,盛,584155,58415508,1,149,0
一関,岩手,越喜来,584156,58415689,1,8,0
一関,岩手,越喜来,584156,58415640,4,80,95730
一関,岩手,越喜来,584156,58415645,1,6,0
一関,岩手,越喜来,584156,58415635,2,69,0
一関,岩手,越喜来,584156,58415623,1,7,0
一関,岩手,越喜来,584156,58415629,3,16,9459
一関,岩手,越喜来,584156,58415604,2,23,0
一関,岩手,金ヶ崎,584160,58416090,1,18,0
一関,岩手,金ヶ崎,584160,58416096,1,9,0
一関,岩手,金ヶ崎,584160,58416097,3,65,140997
一関,岩手,金ヶ崎,584160,58416098,2,77,0
一関,岩手,金ヶ崎,584160,58416086,2,118,0
一関,岩手,金ヶ崎,584160,58416087,8,778,1972527
一関,岩手,金ヶ崎,584160,58416089,1,21,0
一関,岩手,金ヶ崎,584160,58416075,1,5,0
一関,岩手,金ヶ崎,584160,58416076,2,25,0
一関,岩手,金ヶ崎,584160,58416077,3,204,1919267
一関,岩手,金ヶ崎,584160,58416068,1,10,0
一関,岩手,金ヶ崎,584160,58416055,3,835,2517102
一関,岩手,金ヶ崎,584160,58416056,2,560,0
一関,岩手,金ヶ崎,584160,58416058,1,4,0
一関,岩手,金ヶ崎,584160,58416043,1,29,0
一関,岩手,金ヶ崎,584160,58416046,9,2285,29154647
一関,岩手,金ヶ崎,584160,58416048,1,7,0
一関,岩手,金ヶ崎,584160,58416039,4,45,40061
一関,岩手,金ヶ崎,584160,58416025,1,98,0
一関,岩手,金ヶ崎,584160,58416027,1,31,0
一関,岩手,金ヶ崎,584160,58416029,1,15,0
一関,岩手,金ヶ崎,584160,58416014,2,19,0
一関,岩手,金ヶ崎,584160,58416019,2,101,0
一関,岩手,陸中江刺,584161,58416191,1,5,0
一関,岩手,陸中江刺,584161,58416197,1,7,0
一関,岩手,陸中江刺,584161,58416169,2,56,0
一関,岩手,陸中江刺,584161,58416152,1,122,0
一関,岩手,陸中江刺,584161,58416154,6,1220,4959538
一関,岩手,陸中江刺,584161,58416155,6,299,732372
一関,岩手,陸中江刺,584161,58416141,1,23,0
一関,岩手,陸中江刺,584161,58416143,3,85,167891
